initial_company_name,original_company_name,parent_company,parent_company_country,industry_naics_3_digit,industry_naics_4_digit,industry_naics_5_digit,revenue_2023_usd
Tachibana Eletech,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TAM CARGO SAS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TCI KABIN II SISTEMLERI SAN VE TIC A.S.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TD Consulting LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TE Connectivity,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Techint SA de CV,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Technological Business Solutions Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TECPLAM INDUSTRIA ELETRONICA LTDA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Tedox,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Teijin Automotive Technologies,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TEKNOSPORT MAGAZACILIK LIMITED SIRKETI,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TENARIS TUBOCARIBE LTDA,Not Available,Tenaris S.A.,Luxembourg,331 - Primary Metal Manufacturing,3312 - Steel Product Manufacturing from Purchased Steel,331210 - Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Not Available
TERRES Marketing + Consulting GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Tetakawi,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TEXA S.p.A.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
THE ANDES BRANDS S.A.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
The Black & Decker,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
The Dom Cabral Foundation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
THE MARK ANTHONY GROUP OF COMPANIES,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
THE SUPRA CORPORATION,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Thirteen Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Tiho, Tiedemann & Homanner GmbH & Co KG",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TKS Telekommunikations Service GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TMG Solutions,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TOK,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Tönnies Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Trade Factory Global Loj Ds Tc Ltd Sti,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TRANSARENAS INTERNATIONAL CARGO SAS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Travel Retail Innovations BV,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Traxion Logistics SA de CV,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Trendfire Technologies GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Trinus Co. Investment,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TSG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TSW Musical,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Tti Italy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TVH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Twido,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Twinsoft,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Tyson Foods,Not Available,Not Available,Not Available,311 - Food Manufacturing,3116 - Animal Slaughtering and Processing,31161 - Animal Slaughtering and Processing,Not Available
UCYILDIZ ELEKTRONIK BILISIM PERAKEN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Umbral,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Unicomer Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Uniphar,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Unitech,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNITECH SRO,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
United Chemcials Company,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Univa Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Universal Limousine and Transportat,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"UNIVERSAL POWER SOLUTIONS, INC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ureblock,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
URLA DAYANIKLI TKETIM MALLARI TURIZM INSAAT SAN.VE TIC.LDT.STI.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
URSA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
US Aid,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
US ARMY,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
US Navy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
V Ships USA,Not Available,V.Group Limited,United Kingdom,483 - Water Transportation,"4831 - Deep Sea, Coastal, and Great Lakes Water Transportation",48311 - Deep Sea Freight Transportation,Not Available
Valora Retail Services GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Van Eyck Wijnkelders,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Vector Media Holding Corp.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Vendera Inc,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Versuni,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Vguard,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"VICOM Computer Services, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
VIP Connection,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
VIP Norway,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Virginia Transformer,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Virtual Supply, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
VISIOCONT@CT S.A.R.L,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Vision Service Plan,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
VISIONWORKS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Vitra Design Museum GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
VIVAZ DISTRIBUIDORA DE COSMETICO EI,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
VOO,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
VRG DONGWHA MDF JOINT STOCK COMPANY (VRG DONGWHA),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Waberer's International Nyrt.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WALFF INDUSTRIAL SA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Waltham Traders,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Warabeya Nichiyo Holdings,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Waves Computer Supplies,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WAVETROLNIX,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WAWA Sofa Collection,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"WBL CO., LTD.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Weber,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Weber Metals,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WEBUILD SPA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WEC Energy Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
