initial_company_name,original_company_name,parent_company,parent_company_country,industry_naics_3_digit,industry_naics_4_digit,industry_naics_5_digit,revenue_2023_usd
Tachibana Eletech,"Tachibana Eletech Co., Ltd.","Tachibana Eletech Co., Ltd.",Japan,"334 - Electrical Equipment, Appliances, and Components",3345 - Electrical Equipment,33451 - Electrical Distribution Equipment,"1,540 M"
TAM CARGO SAS,TAM Cargo,LATAM Airlines Group,Chile,4812 - Air Transportation,4812 - Scheduled Air Transportation,4812120 - Scheduled Air Transportation of Freight,Not Available
TCI KABIN II SISTEMLERI SAN VE TIC A.S.,TCI Kabin İçi Sistemleri Sanayi ve Ticaret A.Ş.,Turkish Airlines,Turkey,333 - Machinery Manufacturing,336 - Transportation Equipment Manufacturing,336300 - Motor Vehicle Parts Manufacturing,Not Available
TD Consulting LLC,TD Consulting LLC,TD Consulting LLC,US,"541 - Professional, Scientific, and Technical Services","5416 - Management, Scientific, and Technical Consulting Services",541611 - Administrative Management and General Management Consulting Services,Not Available
TE Connectivity,Tyco Electronics Ltd.,TE Connectivity Ltd.,Switzerland,334 - Computer and Electronic Product Manufacturing,"3345 - Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","33451 - Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","12,100 M"
Techint SA de CV,Techint S.A. de C.V.,Techint Group,Mexico,237 - Heavy and Civil Engineering Construction,"2373 - Highway, Street, and Bridge Construction",23733 - Not Available,Not Available
Technological Business Solutions Ltd.,Technology Business Solutions Ltd.,Technology Business Solutions Ltd.,England,Not Available,Not Available,Not Available,Not Available
TECPLAM INDUSTRIA ELETRONICA LTDA,Tecplam Industria Eletronica Ltda,Tecplam Industria Eletronica Ltda,Brazil,"423 - Merchant Wholesalers, Durable Goods",4233 - Electrical and Electronic Goods Merchant Wholesalers,423330 - Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,1 M
Tedox,tedox KG,tedox KG,Germany,"424 - Merchant Wholesalers, Nondurable Goods",4247 - Petroleum and Petroleum Products Merchant Wholesalers,424710 - Petroleum Bulk Stations and Terminals,Not Available
Teijin Automotive Technologies,Teijin Automotive Technologies,Teijin Limited,Japan,325 - Chemical Manufacturing,"3252 - Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",325211 - Plastics Material and Resin Manufacturing,Not Available
TEKNOSPORT MAGAZACILIK LIMITED SIRKETI,TEKNOSPORT MAGAZACILIK LIMITED SIRKETI,TEKNOSPORT MAGAZACILIK LIMITED SIRKETI,Turkey,"423 - Merchant Wholesalers, Durable Goods",4233 - Lumber and Other Construction Materials Merchant Wholesalers,"423330 - Roofing, Siding, and Insulation Material Merchant Wholesalers",Not Available
TENARIS TUBOCARIBE LTDA,Tenaris TuboCaribe Ltda.,Tenaris S.A.,Luxembourg,331 - Fabricated Metal Product Manufacturing,3311 - Forced Metal Rolling and Drawing,3311110 - Steel Pipe and Tube Manufacturing,Not Available
TERRES Marketing + Consulting GmbH,Terres Marketing + Consulting GmbH,AGRAVIS Raiffeisen AG,Germany,"5416 - Management, Scientific, and Technical Consulting Services",54161 - Management Consulting Services,541611 - Administrative Management and General Management Consulting Services,Not Available
Tetakawi,The Offshore Group,Tetakawi,United States,561 - Facilities Support Services,5613 - Facilities Support Services,561330 - Facilities Support Services,Not Available
TEXA S.p.A.,TEXA S.p.A.,Opera Holding S.p.A.,Italy,333 - Manufacturing,333314 - Automotive Parts Manufacturing,33331401 - Automotive Diagnostic Equipment Manufacturing,Not Available
THE ANDES BRANDS S.A.,AES Andes S.A.,AES Corporation,US,"2211 - Electric Power Generation, Transmission and Distribution","2211 - Electric Power Generation, Transmission and Distribution",22111 - Electric Power Generation,"1,940 M"
The Black & Decker,Black & Decker,Stanley Black & Decker,US,333 - Manufacturing,333314 - Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33331401 - Household and Institutional Furniture Manufacturing,Not Available
The Dom Cabral Foundation,Fundação Dom Cabral,Fundação Dom Cabral,Brazil,611 - Educational Institutions,"6113 - Business, Management, and Operations Schools","61131000 - Business, Management, and Operations Schools",Not Available
THE MARK ANTHONY GROUP OF COMPANIES,Mark Anthony Wine & Spirits,The Mark Anthony Group of Companies,Canada,312 - Beverage and Tobacco Product Manufacturing,3121 - Beverage Manufacturing,312112 - Bottled Water Manufacturing,Not Available
THE SUPRA CORPORATION,Supra Corporation,Diamond Multimedia,US,3341 - Computer and Electronic Product Manufacturing,334119 - Other Computer Peripheral Equipment Manufacturing,3341199 - Other Computer Peripheral Equipment Manufacturing,Not Available
Thirteen Group,Thirteen Group,Thirteen Group,United Kingdom,531 - Real Estate,5311 - Lessors of Real Estate,53111 - Lessors of Residential Buildings and Dwellings,245.2 M
"Tiho, Tiedemann & Homanner GmbH & Co KG","Tiho, Tiedemann & Homanner GmbH & Co. KG","Tiho, Tiedemann & Homanner GmbH & Co. KG",Germany,311 - Food Manufacturing,3115 - Dairy Product Manufacturing,311512 - Creamery Butter Manufacturing,Not Available
TKS Telekommunikations Service GmbH,TKS Telekommunikations Service GmbH,WIEGEL,Germany,238 - Specialty Trade Contractors,2389 - Other Specialty Trade Contractors,23891 - Site Preparation Contractors,Not Available
TMG Solutions,TMG Solutions Inc.,TMG Solutions Inc.,Not Available,541 - Computer Systems Design and Related Services,5415 - Computer Systems Design and Related Services,541512 - Computer Systems Design Services,Not Available
TOK,"TOKYO OHKA KOGYO CO., LTD.","TOKYO OHKA KOGYO CO., LTD.",Japan,325 - Chemical Manufacturing,"3252 - Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",325211 - Plastics Material and Resin Manufacturing,Not Available
Tönnies Group,Tönnies Group,Tönnies Holding ApS & Co.KG,Germany,"3116 - Meat, Poultry, and Seafood Products",311612 - Meat Processed from Carcasses,31161200 - Meat Processed from Carcasses,Not Available
Trade Factory Global Loj Ds Tc Ltd Sti,Global Trade Factory Logistics,Global Trade Factory Logistics,Not Available,Not Available,Not Available,Not Available,Not Available
TRANSARENAS INTERNATIONAL CARGO SAS,TRANS-ARENAS INTERNATIONAL CARGO SAS,TRANS-ARENAS INTERNATIONAL CARGO SAS,Colombia,488 - Support Activities for Transportation,4889 - Other Support Activities for Transportation,488910 - Packing and Crating,Not Available
Travel Retail Innovations BV,Travel Retail Innovations BV,Travel Retail Innovations BV,Netherlands,454 - Nonstore Retailers,4541 - Electronic Shopping and Mail-Order Houses,45411000 - Electronic Shopping and Mail-Order Houses,Not Available
Traxion Logistics SA de CV,"Grupo Traxión, S.A.B. de C.V.","Grupo Traxión, S.A.B. de C.V.",Mexico,484 - Truck Transportation,4842 - Specialized Freight Trucking,484210 - Used Household and Office Goods Moving,Not Available
Trendfire Technologies GmbH,Trendfire Technologies GmbH,Trendfire Technologies GmbH,Germany,"541 - Professional, Scientific, and Technical Services","5416 - Management, Scientific, and Technical Consulting Services",541611 - Administrative Management and General Management Consulting Services,Not Available
Trinus Co. Investment,Trinus Co.,Trinus Co.,Brazil,531 - Real Estate,5311 - Lessors of Real Estate,531110 - Offices of Real Estate Agents and Brokers,Not Available
TSG,TSG Consumer Partners,TSG Consumer Partners,US,551 - Management of Companies and Enterprises,5511 - Management of Companies and Enterprises,55111201 - Offices of Other Holding Companies,"20,000 M"
TSW Musical,TSW Musical AG,TSW Musical AG,Switzerland,Not Available,Not Available,Not Available,Not Available
Tti Italy,TTI Trasformatori Tabacco Italia,TTI Trasformatori Tabacco Italia,Italy,312 - Beverage and Tobacco Product Manufacturing,3121 - Beverage Manufacturing,312111 - Soft Drink Manufacturing,Not Available
TVH,TVH Group,TVH Group,Belgium,333 - Machinery Manufacturing,3333 - Commercial and Service Industry Machinery Manufacturing,"333330 - Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",Not Available
Twido,Twido,Schneider Electric,France,3333 - Manufacturing,333314 - Industrial Control Manufacturing,33331400 - Industrial Control Manufacturing,Not Available
Twinsoft,TWINSOFT,Capgemini SE,FR,"541 - Professional, Scientific, and Technical Services",5415 - Computer Systems Design and Related Services,541511 - Custom Computer Programming Services,Not Available
Tyson Foods,"Tyson Foods, Inc.","Tyson Foods, Inc.",US,311 - Food Manufacturing,3119 - Other Food Manufacturing,311991 - Perishable Prepared Food Manufacturing,Not Available
